Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
3,1,Sappho,,,,,,,,,,,,,,,,,Center for Writing and Speaking: Using Sources Peer Review Exercise,https://www.ursinus.edu/live/files/4027-peer-review-sheet-spotlight-on-using-sources-008,,,,,,,,
3,2,Sappho,,Participation: Euthyphro Writing Prompt Due,Participation/Euthyphro,10,,written,,,,,,,,,,,CIE Workshop: Thesis Statements 11-11:30am in Bomberger Auditorium (Bring Your Paper),,Center for Writing and Speaking: Thesis Statements - What They Are and What to Avoid,https://www.ursinus.edu/live/files/4598-thesis-statements-and-what-to-avoid-revision,Center for Writing and Speaking: Generating a Thesis Statement Exercise,https://www.ursinus.edu/live/files/4597-generating-a-thesis-statement-worksheet,,,,
4,0,Euthyphro,,Participation: Writing Fellow Meeting Reflection 1 Due,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,written,,,,,,,,,,,Euthyphro,,Common Event: Apertures and Borderscapes at The Berman Museum of Art (9/23-10/11),,,,,,,
4,1,Euthyphro,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,Euthyphro,,Writing: Essay 1 Due,Assignments/Essay1,70,_pages/Assignments/asmt-essay1.md,written,Writing: Essay 2 Handed Out,Assignments/Essay2,100,_pages/Assignments/asmt-essay2.md,written,,,,,,,,,,,,,,,
5,0,Genesis,,Participation: Genesis Writing Prompt Due,Participation/Genesis,10,,written,,,,,,,,,,,Genesis chapters 1-22,,Discussion with Robert Alter (supplemental recording),,,,,,,
5,1,Genesis,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,Genesis,,Participation: Confucius Writing Prompt Due,Participation/Confucius,10,,written,,,,,,,,,,,,,,,,,,,,
6,0,Confucius: Analects,,,,,,,,,,,,,,,,,Analects of Confucius,,,,,,,,,
6,1,Confucius: Analects,,Participation: Thesis Statement and Outline for Essay 2 Due,,10,,written,,,,,,,,,,,Center for Writing and Speaking: Strategies and Templates for Building a Strong Thesis Statement,https://www.ursinus.edu/live/files/4036-strategies-and-templates-for-building-a-strong,,,,,,,,
6,2,Confucius: Analects,,Participation: Gospel Writing Prompt Due,Participation/Gospel,10,,written,,,,,,,,,,,,,,,,,,,,
7,2,Matthew 5-7 and Luke 10,,Participation: Analysis Section for Essay 2 Due,,10,,written,,,,,,,,,,,Matthew 5-7 (Sermon on the Mount),,Luke 10 (The Good Samaritan),,,,,,,
8,0,Matthew 5-7 and Luke 10,,,,,,,,,,,,,,,,,Center for Writing and Speaking: Thesis Statement Review and Self-Evaluation,https://www.ursinus.edu/live/files/4599-thesis-statement-self-evaluation-reviseddocx,,,,,,,,
8,1,Matthew 5-7 and Luke 10,,Participation: Darwin Writing Prompt Due,Participation/Darwin,10,,written,,,,,,,,,,,,,,,,,,,,
8,2,Darwin and Roughgarden,,Writing: First Draft of Essay 2,Assignments/Essay2,30,_pages/Assignments/asmt-essay2.md,written,Participation: Writing Fellow Meeting Reflection 2 Handed Out,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,written,,,,,,On the Origin of Species,,,,,,,,,
9,0,Darwin and Roughgarden,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Darwin and Roughgarden,,Participation: Writing Fellow Meeting Reflection 2 Due,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,written,,,,,,,,,,,Evolution's Rainbow,,,,,,,,,
9,2,Darwin and Roughgarden,,Participation: Self-Assessment Handed Out,Participation/SelfAssessment,10,,written,Participation: Roughgarden Writing Prompt Due,Participation/Roughgarden,10,,written,,,,,,,,,,,,,,,
10,0,Darwin and Roughgarden,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,Darwin and Roughgarden,,Participation: God is Red Writing Prompt Due,Participation/GodIsRed,10,,written,,,,,,,,,,,Center for Writing and Speaking: Revising for Better Organization,https://www.ursinus.edu/live/files/4039-revising-for-better-organization-ppt-007,Common Event: Interfaith Panel (11/6),,,,,,,
10,2,God is Red,,Writing: Essay 2 Due,Assignments/Essay2,70,_pages/Assignments/asmt-essay2.md,written,Writing: Essay 3 Handed Out,Assignments/Essay3,100,_pages/Assignments/asmt-essay3.md,written,,,,,,God is Red,,,,,,,,,
11,0,God is Red,,,,,,,,,,,,,,,,,Center for Writing and Speaking: Organization Revision Exercise,https://www.ursinus.edu/live/files/4040-revising-for-organization-worksheet-008,,,,,,,,
11,1,God is Red,,Participation: Persepolis Writing Prompt Due,Participation/Persepolis,10,,written,,,,,,,,,,,,,,,,,,,,
11,2,Persepolis and Between the World and Me,,,,,,,,,,,,,,,,,Persepolis,https://ursinuscollege.on.worldcat.org/oclc/216883958,,,,,,,,
12,0,Persepolis and Between the World and Me,,Participation: Coates Writing Prompt Due,Participation/Coates,10,,written,,,,,,,,,,,,,,,,,,,,
12,1,Persepolis and Between the World and Me,,Participation: Outline and Sketch of Essay 3,,10,,written,,,,,,,,,,,In His Own Words: Ta-Nehisi Coates (supplemental recording),https://ursinus.instructure.com/courses/2858/pages/between-the-world-and-me,,,,,,,,
12,2,Persepolis and Between the World and Me,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,Persepolis and Between the World and Me,,Participation: Self-Assessment Due,Participation/SelfAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
14,0,Persepolis and Between the World and Me,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Select Your Quest: Coded Bias,,Writing: First Draft of Essay 3,Assignments/Essay3,30,_pages/Assignments/asmt-essay3.md,written,,,,,,,,,,,Coded Bias,https://ursinuscollege.on.worldcat.org/oclc/1200171382,Are We Automating Racism?,https://www.youtube.com/watch?v=Ok5sKLXqynQ&list=PLJ8cMiYb3G5cOFj1VQf8ykNOI0ptuHybc&index=4,,,,,,
14,2,Select Your Quest: Coded Bias,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,Select Your Quest: Coded Bias,,Writing: Essay 3,Assignments/Essay3,70,_pages/Assignments/asmt-essay3.md,written,,,,,,,,,,,,,,,,,,,,
